TEAM_ID,TEAM_NAME,TEAM_COUNTRY,TEAM_MANAGERS
1,TEAM SKY,GBR ,"PORTAL Nicolas, KNAVEN Servais"
2,MOVISTAR TEAM,ESP ,"ARRIETA Jose Luis, GARCIA ACOSTA Vicente"
3,TEAM KATUSHA,RUS ,"AZEVEDO José, SCHMIDT Torsten"
4,TINKOFF – SAXO,RUS ,"MAUDUIT Philippe, DE JONGH Steven"
5,ASTANA PRO TEAM,KAZ ,"MARTINELLI Giuseppe, SHEFER Alexandr"
6,CANNONDALE,ITA ,PAUCHARD Gilles
7,BELKIN PRO CYCLING,NED ,"VERHOEVEN Nico, MAASSEN Frans"
8,OMEGA PHARMA - QUICK STEP,BEL ,"PEETERS Wilfried, BRAMATI Davide"
9,AG2R LA MONDIALE,FRA ,"LAVENU Vincent, JURDIE Julien"
10,GARMIN - SHARP,USA ,"WEGELIUS Charles, HUNTER Robert"
11,TEAM GIANT - SHIMANO,NED ,"GUIBERTEAU Christian, REEF Marc"
12,LAMPRE - MERIDA,ITA ,"FERNANDEZ Jose Antonio, PEDRAZZINI Simone"
13,FDJ.FR,FRA ,"BRICAUD Thierry, MADIOT Yvon"
14,LOTTO – BELISOL,BEL ,"FRISON Herman, WAUTERS Marc"
15,BMC RACING TEAM,USA ,"LEDANOIS Yvon, PIVA Valerio"
16,TEAM EUROPCAR,FRA ,"FLICKINGER Andy, ARNOULD Dominique"
17,TREK FACTORY RACING,USA ,"ANDERSEN Kim, GALLOPIN Alain"
18,"COFIDIS, SOLUTIONS CREDITS",FRA ,"ROUS Didier, JONROND Jean-Luc"
19,ORICA GREENEDGE,AUS ,"WHITE Matthew, STEPHENS Neil"
20,IAM CYCLING,SUI ,"CARLSTRÖM Kjell, SEIGNEUR Eddy"
21,TEAM NETAPP – ENDURA,GER ,"POITSCHKE Enrico, SANS VEGA Alex"
22,BRETAGNE - SECHE ENVIRONNEMENT,FRA ,"HUBERT Emmanuel, TREHIN Roger"
